name,lat,lon,country
CROCKETT,38.05,-122.22,United States
INVERGORDON,57.68,-4.17,United Kingdom
CROTONE,39.08,17.13,Italy
CUDDALORE,11.72,79.77,India
CUXHAVEN,53.87,8.72,Germany
DA NANG,16.1,108.22,Vietnam
DANDONG,39.82,124.15,China
DALIAN,38.92,121.67,China
DAHEJ,21.7,72.53,India
DAKAR,14.68,-17.43,Senegal
DALHOUSIE,48.07,-66.37,Canada
MACKAY,-21.12,149.22,Australia
DAMIETTA,31.48,31.75,Egypt
DAMMAM,26.5,50.2,Saudi Arabia
DAMPIER,-20.63,116.72,Australia
DARWIN,-12.47,130.85,Australia
HUIZHOU,22.72,114.52,China
DE KASTRI,51.47,140.78,Russia
DEER PARK,29.75,-95.33,United States
DELFZIJL,53.33,6.93,Netherlands
DEN HELDER,52.97,4.78,Netherlands
DESTREHAN,29.95,-90.37,United States
DETROIT,42.33,-83.03,United States
DEVONPORT,-41.18,146.37,Australia
DHEKELIA,34.97,33.72,Cyprus
DIAMANTE,-32.07,-60.65,Argentina
DIEGO GARCIA,-7.35,72.47,British Indian Ocean Territory
HAI PHONG,20.92,106.68,Vietnam
DILI,-8.53,125.58,Timor-Leste
DILLINGHAM,59.03,-158.48,United States
JAKARTA,-6.1,106.88,Indonesia
DJIBOUTI,11.6,43.13,Djibouti
MIAMI,25.78,-80.18,United States
DOHA,25.28,51.53,Qatar
DOMSJO,63.27,18.73,Sweden
DONGES,47.3,-2.07,France
DONGSHAN,23.75,117.52,China
DORALEH,11.6,43.08,Djibouti
DORDRECHT,51.82,4.65,Netherlands
DOUALA,4.05,9.68,Cameroon
MILFORD HAVEN,51.72,-5.03,United Kingdom
DRAMMEN,59.73,10.25,Norway
DROGHEDA,53.72,-6.3,Ireland
DUBA,27.57,35.53,Saudi Arabia
DUBLIN,53.35,-6.25,Ireland
DUBROVNIK,42.67,18.08,Croatia
DUGI RAT,43.45,16.65,Croatia
NANAIMO,49.17,-123.93,Canada
DULUTH,46.77,-92.1,United States
DUMAI,1.68,101.45,Indonesia
DUNDEE,56.47,-2.95,United Kingdom
DURBAN,-29.87,31.07,South Africa
DURRES,41.32,19.45,Albania
UNALASKA,53.87,-166.53,United States
EAST LONDON,-33.03,27.92,South Africa
EASTPORT,44.9,-66.98,United States
ECKERNFORDE,54.48,9.83,Germany
EDEN,-37.07,149.92,Australia
EDGEWATER,40.82,-73.98,United States
EEMSHAVEN,53.45,6.83,Netherlands
EGERSUND,58.45,6.0,Norway
FERROL,43.48,-8.23,Spain
